date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
01/01/2020,China,0,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,Report of unknown virus in Wuhan https://web.archive.org/web/20200823200200/http://m.news.cctv.com/2019/12/31/ARTIsg2QlHWoHQixNnJMlIHb191231.shtml,1,"""However, testing kits for the disease were not distributed to some of Wuhans hospitals until about Jan. 20, an official at the Hubei Provincial Center for Disease Control and Prevention (Hubei CDC) told Reuters. Before then, samples had to be sent to a laboratory in Beijing for testing, a process that took three to five days to get results, according to Wuhan health authorities."" https://web.archive.org/web/20200127184432/https://www.reuters.com/article/us-china-health-testing-insight/confusion-and-lost-time-how-testing-woes-slowed-chinas-coronavirus-response-idUSKBN1ZQ21K",1,,0,,0,,1,0,"According to the announcement by the Health Commission in Wuhan city dated on 31 December 2019, due to unknown pneumonia cases, the Southern China Seaford Market (the wet market) is closed for deep cleaning and investigation. A facial mask is recommended for anyone going out into public space. http://web.archive.org/web/20201019204823/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199576.shtml",,,0,0,6.85,7.99,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
02/01/2020,China,0,-1,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,1,,1,,0,,0,,1,0,,,,0,0,6.85,7.99,0,1.125,0.893,0.521,0.058,0.1,17,0,15,0,0
03/01/2020,China,17,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,Disclose 44 cases of uncertern-reason pneumonia https://web.archive.org/web/20200823200301/http://m.haiwainet.cn/middle/3541351/2020/0103/content_31693765_1.html,1,,1,"According to the notification of Wuhan health commission, 121 close contacts have been traced and put under medical observation. Source: https://web.archive.org/web/20200515001615/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199588.shtml",0,,0,,1,0,,,,0,0,6.85,7.99,0,1.125,0.893,0.521,0.058,0.1,0,15,0,0,0
04/01/2020,China,0,-1,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,1,,1,,0,,0,,1,0,,,,0,0,6.85,7.99,0,1.125,0.893,0.521,0.058,0.1,15,0,0,0,0
05/01/2020,China,15,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,"Wuhan Municipal Health Commission advises residents to avoid enclosed public venues where people gather, wear masks as necessary, and seek medical consultations in time in case of fever and respiratory infection symptoms. Source: https://web.archive.org/web/20200514235719/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199589.shtml",1,,2,"According to the notification of Wuhan health commission, serious contact tracing is being pursued. 163 close contacts have been traced and put under medical observation. Source: https://web.archive.org/web/20200514235719/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199589.shtml",0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
06/01/2020,China,0,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,,1,,2,,0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
07/01/2020,China,0,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,,1,,2,,0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
08/01/2020,China,0,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,,1,,2,,0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
09/01/2020,China,0,0,0,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,,1,,2,,0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
10/01/2020,China,0,0,0,-1,1433783692,10582.1,17.8045083,70.7232986,11.472193,-9.344,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,0,,1,,2,,0,,0,,1,0,,,,2.78,4.76,12.2,14.24,0,1.125,0.893,0.521,0.058,0.1,0,0,0,0,0
