date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
01/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
02/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
03/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
04/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
05/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
06/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
07/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
08/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
09/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
10/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
11/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
12/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
13/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
14/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
15/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
16/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
17/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
18/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
19/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
20/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
21/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
22/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
23/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
24/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,0
25/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,The Ministry of Health and Family Welfare has been urging caution from late January. It started publishing travel advisories and guidance documents for states from 25 January. The Ministry also started tweeting preventive measures from around the same time. https://web.archive.org/web/20200518161403/https://www.mohfw.gov.in/pdf/TraveladvisorytotravelersvisitingChina25012020.pdf https://web.archive.org/web/20200518161743/https://twitter.com/MoHFW_INDIA/status/1222006964059664385 https://web.archive.org/web/20200518161411/https://www.mohfw.gov.in/pdf/Guidance%20document%20-%202019-nCoV.pdf,1,https://covid.icmr.org.in/index.php/testing-facilities#-48.8395696/49.1695438/2 http://niv.co.in/SOP_Specimen_Collection_2019-nCoV.pdf https://en.wikipedia.org/wiki/Viral_Research_and_Diagnostic_Laboratories#Labs,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,0.765,0.588,0.498,0.2,0.085,0,0,0,0,1
26/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,1,0,https://web.archive.org/web/20200427215819/http://dhs.kerala.gov.in/wp-content/uploads/2020/03/ncorona_26012020.pdf,0,,,1,https://www.mohfw.gov.in/pdf/TraveladvisorytotravelersvisitingChina25012020.pdf,0,,,0,,0,,0,,1,1,,1,,1,https://web.archive.org/web/20200427215819/http://dhs.kerala.gov.in/wp-content/uploads/2020/03/ncorona_26012020.pdf,0,,0,,0,,,,,10.19,16.67,12.5,14.58,0,0.765,0.588,0.498,0.2,0.085,0,0,0,1,0
27/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,1,0,,0,,,1,,0,,,0,,0,,0,,1,1,,1,,1,,0,,0,,0,,,,,10.19,16.67,12.5,14.58,0,0.765,0.588,0.498,0.2,0.085,0,0,1,0,0
28/01/2020,India,0,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,1,0,,0,,,1,,0,,,0,,0,,0,,1,1,,1,,1,,0,,0,,0,,,,,10.19,16.67,12.5,14.58,0,0.765,0.588,0.498,0.2,0.085,0,1,0,0,1
29/01/2020,India,0,-1,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,1,0,,0,,,1,,0,,,0,,0,,0,,1,1,,1,,1,,0,,0,,0,,,,,10.19,16.67,12.5,14.58,0,0.765,0.588,0.498,0.2,0.085,1,0,0,1,0
30/01/2020,India,1,0,0,0,1366417756,1876.525,26.6182647,67.0038112,6.37792416,16.778,0,,,0,,,0,,,0,,,0,,,1,0,,0,,,1,,0,,,0,,0,,0,,1,1,,1,,1,,0,,0,,0,,,,,10.19,16.67,12.5,14.58,0,0.765,0.588,0.498,0.2,0.085,0,0,1,0,1
