date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
01/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,"Coded as 0 because unemployment insurance programs pre-existed COVID-19 response. Coding at later dates reflect additional income support programs layered on top of ordinary unemployment insurance. Unemployment insurance in the U.S. is state-specific, but overseen by the U.S. Dept. of Labor. On average, unemployment insurance replaces ~50% of lost wages for a finite period of time. Secondary source, archived: https://web.archive.org/web/20200430034950/https://www.cbpp.org/research/economy/policy-basics-unemployment-insurance",0,"No national policies. Debt/contract relief may have been implemented at state level during this timeframe, but case-specific and not captured in this coding scheme.",0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
02/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
03/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
04/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
05/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
06/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
07/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
08/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
09/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
10/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
11/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
12/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
13/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
14/01/2020,US,0,0,0,0,329064917,63051.4,18.5493171,65.2410767,16.2096061,-2.268,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,1.457,0.874,0.454,0.28,0.128,0,0,0,0,0
