,date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate.1,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
0,25/11/2020,US,170293,-0.02109644,2224,1.420021763,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,173963,157471,175494,196117,188020
1,24/11/2020,US,173963,0.104730395,919,0.040770102,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,157471,175494,196117,188020,170005
2,23/11/2020,US,157471,-0.102698668,883,-0.405787349,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,175494,196117,188020,170005,154316
3,22/11/2020,US,175494,-0.105156616,1486,-0.200215285,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,196117,188020,170005,154316,168425
4,21/11/2020,US,196117,0.043064568,1858,-0.079286422,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,188020,170005,154316,168425,132170
5,20/11/2020,US,188020,0.105967472,2018,0.090810811,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,170005,154316,168425,132170,165277
6,19/11/2020,US,170005,0.101668006,1850,0.261077028,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,"The central govt does not recommend school closings. According to a press briefing by VP Pence and members of the Coronavirus Task Force on 19 Nov: ""it is the position of this task force, of this administration, and of the CDC that we do not need to close our schools."" https://web.archive.org/web/20201121183220/https://www.edweek.org/ew/section/multimedia/map-covid-19-schools-open-closed.html However, at state level, different decisions have been taken. Edweek reports full closures for DC and Puerto Rico, partial closures for Michigan, New York, West Virginia, Delaware, North Carolina, Oregon, California, New Mexico, Hawaii. https://web.archive.org/web/20201121183241/https://www.whitehouse.gov/briefings-statements/press-briefing-vice-president-pence-members-coronavirus-task-force-november-19-2020/",3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,154316,168425,132170,165277,184813
7,18/11/2020,US,154316,-0.083770224,1467,0.458250497,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,168425,132170,165277,184813,153669
8,17/11/2020,US,168425,0.274305818,1006,0.638436482,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,,2,0,,4,0,,1,1,,2,0,,2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,132170,165277,184813,153669,143306
9,16/11/2020,US,132170,-0.200312203,614,-0.510756972,329064917,63051.4,18.5493171,65.2410767,16.2096061,3.33,3,0,,3,0,"Effective from Nov 16, several states tightened their restrictions. New Mexico is one of the strictest, requiring all but essential business to close until Nov 30. Essential businesses, including grocery stores, cannot exceed 25 percent capacity or 75 customers at one time. Oregon started a 2-week lockdown on Nov 18, also requiring nonessential business to close. New Mexico: http://web.archive.org/web/20201123192402/https://cv.nmhealth.org/public-health-orders-and-executive-orders/frequently-asked-questions/ Oregon: http://web.archive.org/web/20201123193338/https://govstatus.egov.com/OR-OHA-COVID-19",2,0,"In some states public events are allowed to go ahead, while others have very tight restrictions in place that do not allow for public events. California had a ban on all gatherings until Nov 12, and from Nov 13 onwards allowed outdoor gatherings of max 3 households in the counties with the strictest regulations (applies to 41 out of its 58 counties). In New Jersey, general indoor gatherings must be limited to 10 people. All attendees at indoor gatherings must wear face coverings and stay six feet apart. There are several exceptions where the rule is 150 people or 25% of a room's capacity -- whichever number is lower. General outdoor gatherings must be limited to 150 people and social distancing must be practiced. (Though there is no limit for outdoor gatherings for wedding ceremonies, funerals, memorial services, religious activities, or political activities.) In New Mexico, gatherings of up to 5 people are allowed. California: http://web.archive.org/web/20201123193657/https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Guidance-for-the-Prevention-of-COVID-19-Transmission-for-Gatherings-November-2020.aspx New Jersey: http://web.archive.org/web/20201123193834/https://covid19.nj.gov/faqs/nj-information/reopening-guidance-and-restrictions/how-can-people-safely-get-together-what-are-the-limits-for-indoor-and-outdoor-gatherings New Mexico: http://web.archive.org/web/20201123192402/https://cv.nmhealth.org/public-health-orders-and-executive-orders/frequently-asked-questions/",4,0,"Alabama, Idaho, Indiana, Missouri and South Dakota allow gatherings of any size, while other states have very strict measures in place. The most restrictive are New Mexico with max 5 people and Oregon with max 6 people from max 2 households. Overview (last updated Nov 17): http://web.archive.org/web/20201123193939/https://www.northstarmeetingsgroup.com/News/Industry/Coronavirus-states-cities-reopening-COVID-19-new-cases New Mexico: http://web.archive.org/web/20201123192402/https://cv.nmhealth.org/public-health-orders-and-executive-orders/frequently-asked-questions/ Oregon: http://web.archive.org/web/20201123193338/https://govstatus.egov.com/OR-OHA-COVID-19",1,1,,2,0,"On Nov 16 Chicago and New Mexico issued a stay-at-home order, under which people are only allowed to leave the house for emergencies or essential needs such as grocery shopping. California has imposed a curfew in most of its counties. http://web.archive.org/web/20201123192402/https://cv.nmhealth.org/public-health-orders-and-executive-orders/frequently-asked-questions/",2,0,,3,,2,0,,1,,0,,0,,2,1,,3,,1,,0,,0,,4,0,,,,75.46,76.9,74.4,76.39,62.5,1.457,0.874,0.454,0.28,0.128,165277,184813,153669,143306,147274
